"","x"
"2279","No schooling"
"2280","No schooling"
"2281","No schooling"
"2282","No schooling"
"2283","No schooling"
"2284","Preschool/ Primary"
"2285","Preschool/ Primary"
"2286","Preschool/ Primary"
"2287","Preschool/ Primary"
"2288","No schooling"
"2289","No schooling"
"2290","Matric"
"2291","Graduation"
"2292","Preschool/ Primary"
"2293","Middle"
"2294","Middle"
"2295","Preschool/ Primary"
"2296","No schooling"
"2297","Preschool/ Primary"
"2298","Preschool/ Primary"
"2299","No schooling"
"2300","Preschool/ Primary"
"2301","Middle"
"2302","Middle"
"2303","No schooling"
"2304","No schooling"
"2305","No schooling"
"2306","Middle"
"2307","Preschool/ Primary"
"2308","No schooling"
"2309","No schooling"
"2310","No schooling"
"2311","No schooling"
"2312","No schooling"
"2313","Middle"
"2314","Preschool/ Primary"
"2315","Preschool/ Primary"
"2316","Intermediate"
"2317","Preschool/ Primary"
"2318","Preschool/ Primary"
"2319","Graduation"
"2320","Intermediate"
"2321","Middle"
"2322","Preschool/ Primary"
"2323","Preschool/ Primary"
"2324","Preschool/ Primary"
"2325","Middle"
"2326","Middle"
"2327","Matric"
"2328","Matric"
"2329","No schooling"
"2330","Matric"
"2331","Preschool/ Primary"
"2332","Preschool/ Primary"
"2333","Preschool/ Primary"
"2334","No schooling"
"2335","No schooling"
"2336","No schooling"
"2337","Preschool/ Primary"
"2338","No schooling"
"2339","Matric"
"2340","Matric"
"2341","No schooling"
"2342","Preschool/ Primary"
"2343","Preschool/ Primary"
"2344","No schooling"
"2345","Preschool/ Primary"
"2346","No schooling"
"2347","No schooling"
"2348","No schooling"
"2349","Preschool/ Primary"
"2350","Matric"
"2351","Matric"
"2352","Matric"
"2353","Masters or above"
"2354","Preschool/ Primary"
"2355","No schooling"
"2356","Preschool/ Primary"
"2357","No schooling"
"2358","No schooling"
"2359","No schooling"
"2360","No schooling"
"2361","No schooling"
"2362","No schooling"
"2363","Matric"
"2364","Preschool/ Primary"
"2365","Matric"
"2366","Intermediate"
"2367","Preschool/ Primary"
"2368","Preschool/ Primary"
"2369","Matric"
"2370","Middle"
"2371","No schooling"
"2372","Matric"
"2373","Middle"
"2374","No schooling"
"2375","Preschool/ Primary"
"2376","No schooling"
"2377","Graduation"
"2378","No schooling"
"2379","Middle"
"2380","Preschool/ Primary"
"2381","Preschool/ Primary"
"2382","No schooling"
"2383","Preschool/ Primary"
"2384","No schooling"
"2385","Masters or above"
"2386","Masters or above"
"2387","Preschool/ Primary"
"2388","No schooling"
"2389","No schooling"
"2390","No schooling"
"2391","No schooling"
"2392","No schooling"
"2393","Preschool/ Primary"
"2394","No schooling"
"2395","No schooling"
"2396","No schooling"
"2397","No schooling"
"2398","Preschool/ Primary"
"2399","Preschool/ Primary"
"2400","Matric"
"2401","Intermediate"
"2402","Matric"
"2403","Preschool/ Primary"
"2404","Matric"
"2405","Preschool/ Primary"
"2406","Matric"
"2407","No schooling"
"2408","Intermediate"
"2409","No schooling"
"2410","Preschool/ Primary"
"2411","Preschool/ Primary"
"2412","No schooling"
"2413","Middle"
"2414","Matric"
"2415","Preschool/ Primary"
"2416","No schooling"
"2417","Preschool/ Primary"
"2418","Preschool/ Primary"
"2419","Preschool/ Primary"
"2420","Preschool/ Primary"
"2421","Matric"
"2422","Preschool/ Primary"
"2423","Preschool/ Primary"
"2424","Preschool/ Primary"
"2425","No schooling"
"2426","No schooling"
"2427","Matric"
"2428","Graduation"
"2429","Middle"
"2430","Intermediate"
"2431","Preschool/ Primary"
"2432","No schooling"
"2433","Preschool/ Primary"
"2434","Preschool/ Primary"
"2435","Middle"
"2436","Preschool/ Primary"
"2437","No schooling"
"2438","Preschool/ Primary"
"2439","No schooling"
"2440","No schooling"
"2441","Preschool/ Primary"
"2442","No schooling"
"2443","No schooling"
"2444","No schooling"
"2445","No schooling"
"2446","No schooling"
"2447","No schooling"
"2448","Middle"
"2449","No schooling"
"2450","No schooling"
"2451","No schooling"
"2452","Preschool/ Primary"
"2453","No schooling"
"2454","No schooling"
"2455","Matric"
"2456","No schooling"
"2457","No schooling"
"2458","Matric"
"2459","No schooling"
"2460","Matric"
"2461","Preschool/ Primary"
"2462","Matric"
"2463","Masters or above"
"2464","No schooling"
"2465","Matric"
"2466","No schooling"
"2467","Matric"
"2468","Matric"
"2469","Intermediate"
"2470","Intermediate"
"2471","Matric"
"2472","No schooling"
"2473","Preschool/ Primary"
"2474","Matric"
"2475","Preschool/ Primary"
"2476","Matric"
"2477","Middle"
"2478","Middle"
"2479","Matric"
"2480","Middle"
"2481","Intermediate"
"2482","Graduation"
"2483","Middle"
"2484","No schooling"
"2485","No schooling"
"2486","Preschool/ Primary"
"2487","Preschool/ Primary"
"2488","Matric"
"2489","Preschool/ Primary"
"2490","Matric"
"2491","Matric"
"2492","Preschool/ Primary"
"2493","Preschool/ Primary"
"2494","No schooling"
"2495","No schooling"
"2496","Preschool/ Primary"
"2497","Matric"
"2498","Middle"
"2499","No schooling"
"2500","No schooling"
"2501","Middle"
"2502","Graduation"
"2503","Matric"
"2504","Graduation"
"2505","Preschool/ Primary"
"2506","Matric"
"2507","Preschool/ Primary"
"2508","Preschool/ Primary"
"2509","No schooling"
"2510","No schooling"
"2511","No schooling"
"2512","No schooling"
"2513","No schooling"
"2514","No schooling"
"2515","No schooling"
"2516","No schooling"
"2517","No schooling"
"2518","No schooling"
"2519","Preschool/ Primary"
"2520","No schooling"
"2521","No schooling"
"2522","No schooling"
"2523","No schooling"
"2524","No schooling"
"2525","No schooling"
"2526","Middle"
"2527","Preschool/ Primary"
"2528","No schooling"
"2529","No schooling"
"2530","Middle"
"2531","No schooling"
"2532","No schooling"
"2533","Preschool/ Primary"
"2534","Masters or above"
"2535","No schooling"
"2536","Middle"
"2537","No schooling"
"2538","Preschool/ Primary"
"2539","No schooling"
"2540","No schooling"
"2541","No schooling"
"2542","No schooling"
"2543","Preschool/ Primary"
"2544","No schooling"
"2545","No schooling"
"2546","No schooling"
"2547","No schooling"
"2548","No schooling"
"2549","Matric"
"2550","No schooling"
"2551","No schooling"
"2552","Masters or above"
"2553","No schooling"
"2554","No schooling"
"2555","No schooling"
"2556","Preschool/ Primary"
"2557","Preschool/ Primary"
"2558","No schooling"
"2559","No schooling"
"2560","No schooling"
"2561","No schooling"
"2562","Middle"
"2563","No schooling"
"2564","No schooling"
"2565","Intermediate"
"2566","No schooling"
"2567","No schooling"
"2568","No schooling"
"2569","Intermediate"
"2570","No schooling"
"2571","No schooling"
"2572","Preschool/ Primary"
"2573","No schooling"
"2574","No schooling"
"2575","No schooling"
"2576","Preschool/ Primary"
"2577","No schooling"
"2578","No schooling"
"2579","Preschool/ Primary"
"2580","No schooling"
"2581","No schooling"
"2582","No schooling"
"2583","Preschool/ Primary"
"2584","No schooling"
"2585","Middle"
"2586","No schooling"
"2587","No schooling"
"2588","No schooling"
"2589","No schooling"
"2590","No schooling"
"2591","No schooling"
"2592","No schooling"
"2593","No schooling"
"2594","No schooling"
"2595","No schooling"
"2596","No schooling"
"2597","No schooling"
"2598","No schooling"
"2599","No schooling"
"2600","No schooling"
"2601","Preschool/ Primary"
"2602","Middle"
"2603","Intermediate"
"2604","No schooling"
"2605","No schooling"
"2606","No schooling"
"2607","No schooling"
"2608","Preschool/ Primary"
"2609","No schooling"
"2610","No schooling"
"2611","No schooling"
"2612","No schooling"
"2613","Preschool/ Primary"
"2614","No schooling"
"2615","Preschool/ Primary"
"2616","No schooling"
"2617","No schooling"
"2618","No schooling"
"2619","Preschool/ Primary"
"2620","Preschool/ Primary"
"2621","Preschool/ Primary"
"2622","No schooling"
"2623","Middle"
"2624","No schooling"
"2625","Matric"
"2626","No schooling"
"2627","No schooling"
"2628","No schooling"
"2629","Preschool/ Primary"
"2630","Preschool/ Primary"
"2631","Middle"
"2632","No schooling"
"2633","Middle"
"2634","Preschool/ Primary"
"2635","Preschool/ Primary"
"2636","No schooling"
"2637","Intermediate"
"2638","Matric"
"2639","No schooling"
"2640","Matric"
"2641","Matric"
"2642","No schooling"
"2643","Middle"
"2644","Preschool/ Primary"
"2645","Masters or above"
"2646","No schooling"
"2647","Middle"
"2648","Preschool/ Primary"
"2649","Graduation"
"2650","Matric"
"2651","Intermediate"
"2652","Matric"
"2653","Matric"
"2654","Middle"
"2655","Graduation"
"2656","Matric"
"2657","Graduation"
"2658","Intermediate"
"2659","No schooling"
"2660","Intermediate"
"2661","No schooling"
"2662","Middle"
"2663","No schooling"
"2664","Matric"
"2665","Preschool/ Primary"
"2666","No schooling"
"2667","Preschool/ Primary"
"2668","No schooling"
"2669","Preschool/ Primary"
"2670","Preschool/ Primary"
"2671","No schooling"
"2672","No schooling"
"2673","Preschool/ Primary"
"2674","No schooling"
"2675","Preschool/ Primary"
"2676","No schooling"
"2677","No schooling"
"2678","No schooling"
"2679","Middle"
"2680","Masters or above"
"2681","Intermediate"
"2682","No schooling"
"2683","Graduation"
"2684","Masters or above"
"2685","Preschool/ Primary"
"2686","Matric"
"2687","Masters or above"
"2688","Matric"
"2689","Intermediate"
"2690","Matric"
"2691","Intermediate"
"2692","Preschool/ Primary"
"2693","Masters or above"
"2694","Graduation"
"2695","No schooling"
"2696","No schooling"
"2697","No schooling"
"2698","No schooling"
"2699","No schooling"
"2700","No schooling"
"2701","No schooling"
"2702","Preschool/ Primary"
"2703","No schooling"
"2704","No schooling"
"2705","No schooling"
"2706","No schooling"
"2707","No schooling"
"2708","No schooling"
"2709","No schooling"
"2710","Preschool/ Primary"
"2711","No schooling"
"2712","No schooling"
"2713","No schooling"
"2714","No schooling"
"2715","Matric"
"2716","Preschool/ Primary"
"2717","Preschool/ Primary"
"2718","No schooling"
"2719","Preschool/ Primary"
"2720","No schooling"
"2721","No schooling"
"2722","No schooling"
"2723","No schooling"
"2724","No schooling"
"2725","No schooling"
"2726","No schooling"
"2727","No schooling"
"2728","No schooling"
"2729","No schooling"
"2730","No schooling"
"2731","No schooling"
"2732","No schooling"
"2733","Preschool/ Primary"
"2734","No schooling"
"2735","No schooling"
"2736","No schooling"
"2737","No schooling"
"2738","Preschool/ Primary"
"2739","No schooling"
"2740","Preschool/ Primary"
"2741","No schooling"
"2742","Preschool/ Primary"
"2743","No schooling"
"2744","No schooling"
"2745","No schooling"
"2746","No schooling"
"2747","No schooling"
"2748","No schooling"
"2749","No schooling"
"2750","No schooling"
"2751","No schooling"
"2752","Middle"
"2753","No schooling"
"2754","No schooling"
"2755","Preschool/ Primary"
"2756","No schooling"
"2757","Middle"
"2758","Middle"
"2759","No schooling"
"2760","No schooling"
"2761","No schooling"
"2762","No schooling"
"2763","No schooling"
"2764","No schooling"
"2765","Preschool/ Primary"
"2766","No schooling"
"2767","No schooling"
"2768","No schooling"
"2769","No schooling"
"2770","No schooling"
"2771","No schooling"
"2772","No schooling"
"2773","No schooling"
"2774","Preschool/ Primary"
"2775","No schooling"
"2776","No schooling"
"2777","Preschool/ Primary"
"2778","Preschool/ Primary"
"2779","Preschool/ Primary"
"2780","No schooling"
"2781","Preschool/ Primary"
"2782","No schooling"
"2783","No schooling"
"2784","No schooling"
"2785","No schooling"
"2786","Preschool/ Primary"
"2787","No schooling"
"2788","Matric"
"2789","No schooling"
"2790","Preschool/ Primary"
"2791","No schooling"
"2792","No schooling"
"2793","No schooling"
"2794","No schooling"
"2795","No schooling"
"2796","No schooling"
"2797","Preschool/ Primary"
"2798","No schooling"
"2799","No schooling"
"2800","No schooling"
"2801","No schooling"
"2802","No schooling"
"2803","No schooling"
"2804","Preschool/ Primary"
"2805","Masters or above"
"2806","No schooling"
"2807","No schooling"
"2808","No schooling"
"2809","No schooling"
"2810","No schooling"
"2811","Preschool/ Primary"
"2812","No schooling"
"2813","Middle"
"2814","No schooling"
"2815","No schooling"
"2816","No schooling"
"2817","No schooling"
"2818","Preschool/ Primary"
"2819","No schooling"
"2820","No schooling"
"2821","No schooling"
"2822","No schooling"
"2823","No schooling"
"2824","No schooling"
"2825","No schooling"
"2826","No schooling"
"2827","Preschool/ Primary"
"2828","Preschool/ Primary"
"2829","No schooling"
"2830","No schooling"
"2831","No schooling"
"2832","Masters or above"
"2833","Middle"
"2834","Matric"
"2835","Matric"
"2836","No schooling"
"2837","Middle"
"2838","Preschool/ Primary"
"2839","Preschool/ Primary"
"2840","Intermediate"
"2841","Preschool/ Primary"
"2842","Matric"
"2843","Preschool/ Primary"
"2844","No schooling"
"2845","Middle"
"2846","Preschool/ Primary"
"2847","No schooling"
"2848","Preschool/ Primary"
"2849","Matric"
"2850","No schooling"
"2851","No schooling"
"2852","Graduation"
"2853","Masters or above"
"2854","Middle"
"2855","Preschool/ Primary"
"2856","No schooling"
"2857","No schooling"
"2858","No schooling"
"2859","No schooling"
"2860","Intermediate"
"2861","Middle"
"2862","Masters or above"
"2863","Middle"
"2864","No schooling"
"2865","Preschool/ Primary"
"2866","No schooling"
"2867","Intermediate"
"2868","Matric"
"2869","Intermediate"
"2870","No schooling"
"2871","Preschool/ Primary"
"2872","Middle"
"2873","Preschool/ Primary"
"2874","No schooling"
"2875","Masters or above"
"2876","Preschool/ Primary"
"2877","Middle"
"2878","Graduation"
"2879","Matric"
"2880","No schooling"
"2881","No schooling"
"2882","Preschool/ Primary"
"2883","Preschool/ Primary"
"2884","Preschool/ Primary"
"2885","Intermediate"
"2886","No schooling"
"2887","Graduation"
"2888","Masters or above"
"2889","Preschool/ Primary"
"2890","No schooling"
"2891","Matric"
"2892","Matric"
"2893","Masters or above"
"2894","Intermediate"
"2895","Intermediate"
"2896","Preschool/ Primary"
"2897","Preschool/ Primary"
"2898","No schooling"
"2899","No schooling"
"2900","No schooling"
"2901","No schooling"
"2902","No schooling"
"2903","Preschool/ Primary"
"2904","Preschool/ Primary"
"2905","No schooling"
"2906","No schooling"
"2907","No schooling"
"2908","No schooling"
"2909","No schooling"
"2910","No schooling"
"2911","No schooling"
"2912","Preschool/ Primary"
"2913","No schooling"
"2914","Preschool/ Primary"
"2915","No schooling"
"2916","No schooling"
"2917","Intermediate"
"2918","No schooling"
"2919","No schooling"
"2920","No schooling"
"2921","Preschool/ Primary"
"2922","Preschool/ Primary"
"2923","No schooling"
"2924","Preschool/ Primary"
"2925","No schooling"
"2926","No schooling"
"2927","No schooling"
"2928","No schooling"
"2929","No schooling"
"2930","Preschool/ Primary"
"2931","No schooling"
"2932","No schooling"
"2933","Middle"
"2934","Preschool/ Primary"
"2935","No schooling"
"2936","Preschool/ Primary"
"2937","Preschool/ Primary"
"2938","No schooling"
"2939","Preschool/ Primary"
"2940","Graduation"
"2941","No schooling"
"2942","Middle"
"2943","Preschool/ Primary"
"2944","No schooling"
"2945","No schooling"
"2946","No schooling"
"2947","No schooling"
"2948","No schooling"
"2949","No schooling"
"2950","Preschool/ Primary"
"2951","No schooling"
"2952","No schooling"
"2953","No schooling"
"2954","No schooling"
"2955","Preschool/ Primary"
"2956","No schooling"
"2957","Preschool/ Primary"
"2958","No schooling"
"2959","No schooling"
"2960","Preschool/ Primary"
"2961","Matric"
"2962","No schooling"
"2963","No schooling"
"2964","No schooling"
"2965","No schooling"
"2966","Middle"
"2967","No schooling"
"2968","No schooling"
"2969","Middle"
"2970","No schooling"
"2971","Middle"
"2972","No schooling"
"2973","No schooling"
"2974","No schooling"
"2975","No schooling"
"2976","No schooling"
"2977","No schooling"
"2978","Preschool/ Primary"
"2979","Preschool/ Primary"
"2980","No schooling"
"2981","No schooling"
"2982","Preschool/ Primary"
"2983","Preschool/ Primary"
"2984","Preschool/ Primary"
"2985","No schooling"
"2986","No schooling"
"2987","Preschool/ Primary"
"2988","No schooling"
"2989","No schooling"
"2990","No schooling"
"2991","No schooling"
"2992","Middle"
"2993","Preschool/ Primary"
"2994","Preschool/ Primary"
"2995","Preschool/ Primary"
"2996","No schooling"
"2997","Preschool/ Primary"
"2998","Preschool/ Primary"
"2999","Middle"
"3000","Middle"
"3001","Middle"
"3002","Masters or above"
"3003","No schooling"
"3004","Matric"
"3005","Masters or above"
"3006","Preschool/ Primary"
"3007","Preschool/ Primary"
"3008","No schooling"
"3009","Graduation"
"3010","Preschool/ Primary"
"3011","Preschool/ Primary"
"3012","No schooling"
"3013","Matric"
"3014","Preschool/ Primary"
"3015","Preschool/ Primary"
"3016","No schooling"
"3017","Matric"
"3018","Preschool/ Primary"
"3019","Intermediate"
"3020","Matric"
"3021","Matric"
"3022","No schooling"
"3023","Preschool/ Primary"
"3024","No schooling"
"3025","Matric"
"3026","Preschool/ Primary"
"3027","Intermediate"
"3028","Preschool/ Primary"
"3029","No schooling"
"3030","No schooling"
"3031","No schooling"
"3032","No schooling"
"3033","Preschool/ Primary"
"3034","Preschool/ Primary"
"3035","No schooling"
"3036","Preschool/ Primary"
"3037","Intermediate"
"3038","Preschool/ Primary"
"3039","Matric"
"3040","No schooling"
"3041","Preschool/ Primary"
"3042","Preschool/ Primary"
"3043","Matric"
"3044","Masters or above"
"3045","No schooling"
"3046","Intermediate"
"3047","No schooling"
"3048","No schooling"
"3049","No schooling"
"3050","Preschool/ Primary"
"3051","No schooling"
"3052","No schooling"
"3053","No schooling"
"3054","No schooling"
"3055","Masters or above"
"3056","No schooling"
"3057","No schooling"
"3058","Matric"
"3059","No schooling"
"3060","Matric"
"3061","Matric"
"3062","Matric"
"3063","No schooling"
"3064","No schooling"
"3065","Preschool/ Primary"
"3066","No schooling"
"3067","No schooling"
"3068","Preschool/ Primary"
"3069","No schooling"
"3070","No schooling"
"3071","No schooling"
"3072","Preschool/ Primary"
"3073","No schooling"
"3074","Preschool/ Primary"
"3075","Intermediate"
"3076","Matric"
"3077","Middle"
"3078","Matric"
"3079","Graduation"
"3080","Graduation"
"3081","Matric"
"3082","No schooling"
"3083","No schooling"
"3084","No schooling"
"3085","No schooling"
"3086","Masters or above"
"3087","No schooling"
"3088","Matric"
"3089","Graduation"
"3090","No schooling"
"3091","No schooling"
"3092","No schooling"
"3093","Matric"
"3094","No schooling"
"3095","Matric"
"3096","Intermediate"
"3097","No schooling"
"3098","Preschool/ Primary"
"3099","No schooling"
"3100","No schooling"
"3101","Preschool/ Primary"
"3102","No schooling"
"3103","No schooling"
"3104","No schooling"
"3105","Middle"
"3106","Preschool/ Primary"
"3107","No schooling"
"3108","No schooling"
"3109","No schooling"
"3110","No schooling"
"3111","No schooling"
"3112","No schooling"
"3113","No schooling"
"3114","No schooling"
"3115","No schooling"
"3116","Middle"
"3117","No schooling"
"3118","No schooling"
"3119","Middle"
"3120","No schooling"
"3121","No schooling"
"3122","No schooling"
"3123","No schooling"
"3124","No schooling"
"3125","No schooling"
"3126","No schooling"
"3127","Middle"
"3128","Preschool/ Primary"
"3129","No schooling"
"3130","No schooling"
"3131","No schooling"
"3132","No schooling"
"3133","No schooling"
"3134","No schooling"
"3135","No schooling"
"3136","No schooling"
"3137","No schooling"
"3138","No schooling"
"3139","No schooling"
"3140","No schooling"
"3141","No schooling"
"3142","Preschool/ Primary"
"3143","No schooling"
"3144","No schooling"
"3145","No schooling"
"3146","No schooling"
"3147","Preschool/ Primary"
"3148","No schooling"
"3149","Middle"
"3150","No schooling"
"3151","No schooling"
"3152","No schooling"
"3153","Preschool/ Primary"
"3154","No schooling"
"3155","No schooling"
"3156","Graduation"
"3157","No schooling"
"3158","No schooling"
"3159","No schooling"
"3160","No schooling"
"3161","No schooling"
"3162","No schooling"
"3163","No schooling"
"3164","No schooling"
"3165","No schooling"
"3166","No schooling"
"3167","No schooling"
"3168","No schooling"
"3169","No schooling"
"3170","Middle"
"3171","No schooling"
"3172","No schooling"
"3173","No schooling"
"3174","Preschool/ Primary"
"3175","No schooling"
"3176","No schooling"
"3177","Matric"
"3178","Matric"
"3179","Matric"
"3180","Masters or above"
"3181","Masters or above"
"3182","Matric"
"3183","Matric"
"3184","No schooling"
"3185","Middle"
"3186","No schooling"
"3187","No schooling"
"3188","No schooling"
"3189","No schooling"
"3190","Graduation"
"3191","Intermediate"
"3192","Matric"
"3193","Matric"
"3194","Matric"
"3195","Preschool/ Primary"
"3196","No schooling"
"3197","Middle"
"3198","No schooling"
"3199","No schooling"
"3200","Preschool/ Primary"
"3201","Preschool/ Primary"
"3202","Preschool/ Primary"
"3203","Intermediate"
"3204","Masters or above"
"3205","Masters or above"
"3206","Preschool/ Primary"
"3207","Matric"
"3208","Matric"
"3209","Matric"
"3210","Masters or above"
"3211","Matric"
"3212","Preschool/ Primary"
"3213","Middle"
"3214","Matric"
"3215","Middle"
"3216","Preschool/ Primary"
"3217","Intermediate"
"3218","Middle"
"3219","Intermediate"
"3220","Matric"
"3221","Preschool/ Primary"
"3222","Preschool/ Primary"
"3223","No schooling"
"3224","Matric"
"3225","Matric"
"3226","Intermediate"
"3227","Masters or above"
"3228","No schooling"
"3229","Graduation"
"3230","Intermediate"
"3231","Graduation"
"3232","Matric"
"3233","Preschool/ Primary"
"3234","Matric"
"3235","Matric"
"3236","Intermediate"
"3237","Preschool/ Primary"
"3238","Masters or above"
"3239","Graduation"
"3240","Graduation"
"3241","Matric"
"3242","Masters or above"
"3243","Masters or above"
"3244","Matric"
"3245","Graduation"
"3246","Graduation"
"3247","Middle"
"3248","Matric"
"3249","Matric"
"3250","Matric"
"3251","Middle"
"3252","Preschool/ Primary"
"3253","No schooling"
"3254","Masters or above"
"3255","Matric"
"3256","Intermediate"
"3257","No schooling"
"3258","Preschool/ Primary"
"3259","Preschool/ Primary"
"3260","No schooling"
"3261","No schooling"
"3262","No schooling"
"3263","Intermediate"
"3264","Preschool/ Primary"
"3265","Middle"
"3266","No schooling"
"3267","No schooling"
"3268","No schooling"
"3269","No schooling"
"3270","Preschool/ Primary"
"3271","No schooling"
"3272","No schooling"
"3273","No schooling"
"3274","No schooling"
"3275","No schooling"
"3276","Middle"
"3277","No schooling"
"3278","No schooling"
"3279","Matric"
"3280","No schooling"
"3281","No schooling"
"3282","Middle"
"3283","No schooling"
"3284","No schooling"
"3285","Middle"
"3286","Intermediate"
"3287","Preschool/ Primary"
"3288","Matric"
"3289","Middle"
"3290","Preschool/ Primary"
"3291","No schooling"
"3292","Preschool/ Primary"
"3293","Masters or above"
"3294","Matric"
"3295","No schooling"
"3296","Matric"
"3297","No schooling"
"3298","Masters or above"
"3299","No schooling"
"3300","No schooling"
"3301","Preschool/ Primary"
"3302","No schooling"
"3303","Matric"
"3304","Preschool/ Primary"
"3305","Matric"
"3306","Matric"
"3307","No schooling"
"3308","Matric"
"3309","Preschool/ Primary"
"3310","Preschool/ Primary"
"3311","Matric"
"3312","Masters or above"
"3313","No schooling"
"3314","Matric"
"3315","No schooling"
"3316","Graduation"
"3317","No schooling"
"3318","No schooling"
"3319","Matric"
"3320","Preschool/ Primary"
"3321","Preschool/ Primary"
"3322","No schooling"
"3323","Preschool/ Primary"
"3324","Preschool/ Primary"
"3325","Intermediate"
"3326","Middle"
"3327","Intermediate"
"3328","Masters or above"
"3329","Matric"
"3330","Intermediate"
"3331","Matric"
"3332","No schooling"
"3333","Middle"
"3334","Preschool/ Primary"
"3335","Masters or above"
"3336","No schooling"
"3337","No schooling"
"3338","Masters or above"
"3339","Preschool/ Primary"
"3340","Intermediate"
"3341","Middle"
"3342","Middle"
"3343","Matric"
"3344","No schooling"
"3345","Preschool/ Primary"
"3346","No schooling"
"3347","Preschool/ Primary"
"3348","No schooling"
"3349","Preschool/ Primary"
"3350","Intermediate"
"3351","Preschool/ Primary"
"3352","Masters or above"
"3353","No schooling"
"3354","No schooling"
"3355","No schooling"
"3356","Matric"
"3357","Preschool/ Primary"
"3358","No schooling"
"3359","No schooling"
"3360","Preschool/ Primary"
"3361","Preschool/ Primary"
"3362","No schooling"
"3363","No schooling"
"3364","Preschool/ Primary"
"3365","Matric"
"3366","No schooling"
"3367","Middle"
"3368","Preschool/ Primary"
"3369","Preschool/ Primary"
"3370","Preschool/ Primary"
"3371","No schooling"
"3372","Graduation"
"3373","Preschool/ Primary"
"3374","Intermediate"
"3375","No schooling"
"3376","Graduation"
"3377","No schooling"
"3378","Preschool/ Primary"
"3379","No schooling"
"3380","No schooling"
"3381","No schooling"
"3382","No schooling"
"3383","Preschool/ Primary"
"3384","Middle"
"3385","No schooling"
"3386","No schooling"
"3387","Matric"
"3388","No schooling"
"3389","Preschool/ Primary"
"3390","Middle"
"3391","Middle"
"3392","No schooling"
"3393","Matric"
"3394","Matric"
"3395","No schooling"
"3396","Matric"
"3397","Middle"
"3398","Matric"
"3399","Preschool/ Primary"
"3400","Middle"
"3401","Preschool/ Primary"
"3402","Matric"
"3403","Middle"
"3404","Matric"
"3405","Preschool/ Primary"
"3406","Preschool/ Primary"
"3407","No schooling"
"3408","Matric"
"3409","Preschool/ Primary"
"3410","Masters or above"
"3411","Masters or above"
"3412","Matric"
"3413","Preschool/ Primary"
"3414","Preschool/ Primary"
"3415","No schooling"
"3416","Matric"
"3417","Matric"
"3418","Matric"
"3419","Preschool/ Primary"
"3420","Middle"
"3421","No schooling"
"3422","Intermediate"
"3423","Masters or above"
"3424","Masters or above"
"3425","Matric"
"3426","Intermediate"
"3427","No schooling"
"3428","Matric"
"3429","Middle"
"3430","Graduation"
"3431","Matric"
"3432","Intermediate"
"3433","Masters or above"
"3434","Preschool/ Primary"
"3435","Matric"
"3436","Middle"
"3437","No schooling"
"3438","Intermediate"
"3439","Preschool/ Primary"
"3440","Intermediate"
"3441","Preschool/ Primary"
"3442","Matric"
"3443","Matric"
"3444","Preschool/ Primary"
"3445","Matric"
"3446","Matric"
"3447","Preschool/ Primary"
"3448","No schooling"
"3449","Matric"
"3450","Middle"
"3451","Preschool/ Primary"
"3452","Preschool/ Primary"
"3453","Matric"
"3454","Masters or above"
"3455","No schooling"
"3456","Intermediate"
"3457","Preschool/ Primary"
"3458","No schooling"
"3459","Middle"
"3460","Preschool/ Primary"
"3461","Middle"
"3462","Matric"
"3463","No schooling"
"3464","Matric"
"3465","Matric"
"3466","Preschool/ Primary"
"3467","No schooling"
"3468","Matric"
"3469","Middle"
"3470","Intermediate"
"3471","No schooling"
"3472","No schooling"
"3473","Intermediate"
"3474","No schooling"
"3475","No schooling"
"3476","No schooling"
"3477","No schooling"
"3478","Preschool/ Primary"
"3479","No schooling"
"3480","Preschool/ Primary"
"3481","No schooling"
"3482","Intermediate"
"3483","Middle"
"3484","Matric"
"3485","Matric"
"3486","Graduation"
"3487","Matric"
"3488","Preschool/ Primary"
"3489","Preschool/ Primary"
"3490","Middle"
"3491","Intermediate"
"3492","Intermediate"
"3493","Preschool/ Primary"
"3494","Intermediate"
"3495","No schooling"
"3496","Matric"
"3497","Preschool/ Primary"
"3498","Masters or above"
"3499","Middle"
"3500","Intermediate"
"3501","Intermediate"
"3502","No schooling"
"3503","Preschool/ Primary"
"3504","Matric"
"3505","Preschool/ Primary"
"3506","Intermediate"
"3507","Middle"
"3508","Preschool/ Primary"
"3509","Middle"
"3510","Graduation"
"3511","No schooling"
"3512","Masters or above"
"3513","Intermediate"
"3514","No schooling"
"3515","Graduation"
"3516","Masters or above"
"3517","Matric"
"3518","Matric"
"3519","No schooling"
"3520","Preschool/ Primary"
"3521","Masters or above"
"3522","Preschool/ Primary"
"3523","Masters or above"
"3524","Middle"
"3525","Intermediate"
"3526","Matric"
"3527","Matric"
"3528","Matric"
"3529","Masters or above"
"3530","Middle"
"3531","Preschool/ Primary"
"3532","No schooling"
"3533","No schooling"
"3534","Preschool/ Primary"
"3535","Middle"
"3536","No schooling"
"3537","Intermediate"
"3538","Middle"
"3539","No schooling"
"3540","Matric"
"3541","Preschool/ Primary"
"3542","Preschool/ Primary"
"3543","Preschool/ Primary"
"3544","Preschool/ Primary"
"3545","Preschool/ Primary"
"3546","Graduation"
"3547","Preschool/ Primary"
"3548","Preschool/ Primary"
"3549","No schooling"
"3550","No schooling"
