"","x"
"321","No schooling"
"322","No schooling"
"323","Preschool/ Primary"
"324","Preschool/ Primary"
"325","Intermediate"
"326","Graduation"
"327","Intermediate"
"328","Middle"
"329","Preschool/ Primary"
"330","No schooling"
"331","Preschool/ Primary"
"332","Preschool/ Primary"
"333","Preschool/ Primary"
"334","Preschool/ Primary"
"335","No schooling"
"336","Matric"
"337","Preschool/ Primary"
"338","No schooling"
"339","Preschool/ Primary"
"340","No schooling"
"341","Middle"
"342","Graduation"
"343","Preschool/ Primary"
"344","Intermediate"
"345","Matric"
"346","Preschool/ Primary"
"347","Preschool/ Primary"
"348","Preschool/ Primary"
"349","No schooling"
"350","Masters or above"
"351","Matric"
"352","Preschool/ Primary"
"353","Preschool/ Primary"
"354","Middle"
"355","Preschool/ Primary"
"356","Preschool/ Primary"
"357","Preschool/ Primary"
"358","No schooling"
"359","No schooling"
"360","No schooling"
"361","No schooling"
"362","Preschool/ Primary"
"363","No schooling"
"364","Preschool/ Primary"
"365","No schooling"
"366","No schooling"
"367","No schooling"
"368","No schooling"
"369","No schooling"
"370","No schooling"
"371","No schooling"
"372","No schooling"
"373","No schooling"
"374","No schooling"
"375","No schooling"
"376","Middle"
"377","Matric"
"378","Preschool/ Primary"
"379","No schooling"
"380","Matric"
"381","No schooling"
"382","Middle"
"383","No schooling"
"384","No schooling"
"385","Preschool/ Primary"
"386","No schooling"
"387","Preschool/ Primary"
"388","No schooling"
"389","No schooling"
"390","No schooling"
"391","Intermediate"
"392","Matric"
"393","Graduation"
"394","Graduation"
"395","Matric"
"396","Intermediate"
"397","Preschool/ Primary"
"398","Intermediate"
"399","No schooling"
"400","Preschool/ Primary"
"401","Intermediate"
"402","No schooling"
"403","No schooling"
"404","Middle"
"405","Graduation"
"406","No schooling"
"407","No schooling"
"408","Matric"
"409","No schooling"
"410","No schooling"
"411","No schooling"
"412","No schooling"
"413","Preschool/ Primary"
"414","No schooling"
"415","No schooling"
"416","Preschool/ Primary"
"417","No schooling"
"418","No schooling"
"419","No schooling"
"420","Intermediate"
"421","No schooling"
"422","No schooling"
"423","No schooling"
"424","No schooling"
"425","No schooling"
"426","Matric"
"427","Middle"
"428","Middle"
"429","Matric"
"430","No schooling"
"431","Preschool/ Primary"
"432","Matric"
"433","Preschool/ Primary"
"434","No schooling"
"435","No schooling"
"436","Matric"
"437","Matric"
"438","Matric"
"439","No schooling"
"440","No schooling"
"441","No schooling"
"442","Matric"
"443","Preschool/ Primary"
"444","Matric"
"445","Intermediate"
"446","Middle"
"447","No schooling"
"448","Matric"
"449","No schooling"
"450","Preschool/ Primary"
"451","Intermediate"
"452","Middle"
"453","Middle"
"454","Preschool/ Primary"
"455","No schooling"
"456","No schooling"
"457","No schooling"
"458","No schooling"
"459","No schooling"
"460","No schooling"
"461","Preschool/ Primary"
"462","No schooling"
"463","Middle"
"464","No schooling"
"465","No schooling"
"466","No schooling"
"467","No schooling"
"468","No schooling"
"469","No schooling"
"470","Matric"
"471","Middle"
"472","No schooling"
"473","No schooling"
"474","Middle"
"475","Intermediate"
"476","Preschool/ Primary"
"477","Intermediate"
"478","No schooling"
"479","Matric"
"480","Preschool/ Primary"
"481","Preschool/ Primary"
"482","Middle"
"483","Middle"
"484","Intermediate"
"485","Matric"
"486","Preschool/ Primary"
"487","No schooling"
"488","Preschool/ Primary"
"489","Middle"
"490","No schooling"
"491","No schooling"
"492","Preschool/ Primary"
"493","Preschool/ Primary"
"494","No schooling"
"495","No schooling"
"496","No schooling"
"497","Middle"
"498","Preschool/ Primary"
"499","No schooling"
"500","Middle"
"501","Graduation"
"502","No schooling"
"503","No schooling"
"504","Graduation"
"505","Preschool/ Primary"
"506","No schooling"
"507","No schooling"
"508","No schooling"
"509","No schooling"
"510","Preschool/ Primary"
"511","No schooling"
"512","Matric"
"513","Matric"
"514","Middle"
"515","Matric"
"516","Middle"
"517","Matric"
"518","Intermediate"
"519","Matric"
"520","Preschool/ Primary"
"521","Matric"
"522","Preschool/ Primary"
"523","Matric"
"524","Graduation"
"525","Middle"
"526","No schooling"
"527","Middle"
"528","No schooling"
"529","Matric"
"530","Masters or above"
"531","No schooling"
"532","Masters or above"
"533","No schooling"
"534","Middle"
"535","Preschool/ Primary"
"536","Matric"
"537","Preschool/ Primary"
"538","No schooling"
"539","No schooling"
"540","Masters or above"
"541","Graduation"
"542","Preschool/ Primary"
"543","No schooling"
"544","No schooling"
"545","No schooling"
"546","No schooling"
"547","No schooling"
"548","No schooling"
"549","No schooling"
"550","No schooling"
"551","No schooling"
"552","No schooling"
"553","No schooling"
"554","No schooling"
"555","No schooling"
"556","No schooling"
"557","Preschool/ Primary"
"558","Middle"
"559","No schooling"
"560","No schooling"
"561","Matric"
"562","Matric"
"563","Matric"
"564","No schooling"
"565","Matric"
"566","Matric"
"567","No schooling"
"568","Preschool/ Primary"
"569","Middle"
"570","Graduation"
"571","No schooling"
"572","No schooling"
"573","Graduation"
"574","Matric"
"575","Preschool/ Primary"
"576","Intermediate"
"577","Preschool/ Primary"
"578","Masters or above"
"579","Preschool/ Primary"
"580","No schooling"
"581","No schooling"
"582","No schooling"
"583","No schooling"
"584","Preschool/ Primary"
"585","Preschool/ Primary"
"586","Preschool/ Primary"
"587","No schooling"
"588","No schooling"
"589","No schooling"
"590","Preschool/ Primary"
"591","No schooling"
"592","No schooling"
"593","Preschool/ Primary"
"594","No schooling"
"595","No schooling"
"596","Preschool/ Primary"
"597","No schooling"
"598","No schooling"
"599","Preschool/ Primary"
"600","No schooling"
"601","No schooling"
"602","Preschool/ Primary"
"603","Middle"
"604","No schooling"
"605","Preschool/ Primary"
"606","No schooling"
"607","No schooling"
"608","No schooling"
"609","Matric"
"610","No schooling"
"611","Preschool/ Primary"
"612","No schooling"
"613","Middle"
"614","No schooling"
"615","Middle"
"616","No schooling"
"617","No schooling"
"618","No schooling"
"619","Matric"
"620","No schooling"
"621","Matric"
"622","Matric"
"623","Masters or above"
"624","Masters or above"
"625","No schooling"
"626","No schooling"
"627","Matric"
"628","Preschool/ Primary"
"629","Matric"
"630","Preschool/ Primary"
"631","Preschool/ Primary"
"632","No schooling"
"633","No schooling"
"634","Preschool/ Primary"
